"lon","lat","inc_date","inc_id","is_vehicle"
"-122.637477","45.484732","2026-07-22","26-149858","Yes"
"-122.687892","45.527226","2026-07-22","26-149855","No"
"-122.684653","45.579217","2026-07-22","26-149851","Yes"
"-122.639331","45.517241","2026-07-22","26-149844","No"
"-122.501870","45.517610","2026-07-22","26-149840","No"
"-122.665712","45.535694","2026-07-22","26-149838","No"
"-122.666259","45.537028","2026-07-22","26-149835","No"
"-122.581442","45.465032","2026-07-22","26-149834","Yes"
"-122.580900","45.494922","2026-07-22","26-149832","Yes"
"-122.631221","45.549022","2026-07-22","26-149830","Yes"
"-122.604090","45.554120","2026-07-21","26-149824","No"
"-122.562450","45.477210","2026-07-21","26-149822","No"
"-122.726611","45.600118","2026-07-21","26-149816","Yes"
"-122.651829","45.490776","2026-07-21","26-149813","Yes"
"-122.629105","45.494848","2026-07-21","26-149810","Yes"
"-122.760667","45.601027","2026-07-21","26-149805","Yes"
"-122.638577","45.490297","2026-07-21","26-149804","No"
"-122.580086","45.531086","2026-07-21","26-149803","Yes"
"-122.647204","45.465743","2026-07-21","26-149799","Yes"
"-122.536984","45.478077","2026-07-21","26-149797","Yes"
"-122.562221","45.464288","2026-07-21","26-149791","Yes"
"-122.580455","45.565390","2026-07-21","26-149790","Yes"
"-122.510622","45.498054","2026-07-21","26-149788","No"
"-122.653950","45.499609","2026-07-21","26-149784","Yes"
"-122.647953","45.498609","2026-07-21","26-149782","No"
"-122.693802","45.480612","2026-07-21","26-149781","No"
"-122.559910","45.555600","2026-07-21","26-149779","No"
"-122.685292","45.526467","2026-07-21","26-149776","Yes"
"-122.633319","45.484689","2026-07-21","26-149774","Yes"
"-122.570901","45.496336","2026-07-21","26-149771","No"
"-122.653091","45.520035","2026-07-21","26-149769","No"
"-122.654358","45.519960","2026-07-21","26-149767","No"
"-122.563578","45.524315","2026-07-21","26-149766","No"
"-122.556581","45.513907","2026-07-21","26-149765","Yes"
"-122.562205","45.523864","2026-07-21","26-149764","No"
"-122.673850","45.520700","2026-07-21","26-149762","No"
"-122.660653","45.503647","2026-07-21","26-149756","No"
"-122.523839","45.522533","2026-07-21","26-149754","No"
"-122.562082","45.528998","2026-07-21","26-149753","No"
"-122.623220","45.504290","2026-07-21","26-149750","Yes"
"-122.513900","45.503570","2026-07-21","26-149747","No"
"-122.682846","45.601477","2026-07-21","26-149746","No"
"-122.523828","45.502191","2026-07-21","26-149744","No"
"-122.559319","45.567349","2026-07-21","26-149743","No"
"-122.560276","45.567634","2026-07-21","26-149742","No"
"-122.677744","45.571496","2026-07-21","26-149741","Yes"
"-122.564104","45.568386","2026-07-21","26-149739","No"
"-122.487929","45.504589","2026-07-21","26-149734","Yes"
"-122.567124","45.568645","2026-07-21","26-149733","No"
"-122.559856","45.490620","2026-07-21","26-149732","Yes"
"-122.631539","45.484578","2026-07-21","26-149730","No"
"-122.569220","45.555630","2026-07-21","26-149727","Yes"
"-122.516157","45.560258","2026-07-21","26-149725","No"
"-122.775670","45.624380","2026-07-21","26-149723","Yes"
"-122.688308","45.525699","2026-07-21","26-149722","No"
"-122.518297","45.560262","2026-07-21","26-149721","No"
"-122.537676","45.502310","2026-07-21","26-149719","Yes"
"-122.667563","45.585449","2026-07-21","26-149718","No"
"-122.550364","45.498144","2026-07-21","26-149717","Yes"
"-122.697930","45.540541","2026-07-21","26-149715","No"
"-122.682669","45.588950","2026-07-21","26-149709","No"
"-122.655635","45.522915","2026-07-21","26-149708","No"
"-122.536389","45.502264","2026-07-21","26-149707","Yes"
"-122.505860","45.524310","2026-07-21","26-149706","No"
"-122.661165","45.465382","2026-07-21","26-149705","Yes"
"-122.630869","45.520290","2026-07-21","26-149703","No"
"-122.638135","45.573262","2026-07-21","26-149701","No"
"-122.496867","45.497337","2026-07-21","26-149696","Yes"
"-122.621510","45.535260","2026-07-21","26-149694","No"
"-122.756974","45.592326","2026-07-21","26-149693","No"
"-122.484711","45.490488","2026-07-21","26-149691","Yes"
"-122.519252","45.487453","2026-07-21","26-149690","No"
"-122.591261","45.487364","2026-07-21","26-149688","Yes"
"-122.556114","45.532000","2026-07-21","26-149687","Yes"
"-122.757155","45.588702","2026-07-21","26-149685","Yes"
"-122.484673","45.492309","2026-07-21","26-149684","Yes"
"-122.672331","45.521261","2026-07-21","26-149683","No"
"-122.635614","45.490309","2026-07-21","26-149682","Yes"
"-122.680221","45.526560","2026-07-21","26-149680","No"
"-122.694401","45.527648","2026-07-21","26-149679","No"
"-122.648621","45.524112","2026-07-21","26-149678","No"
"-122.562286","45.519760","2026-07-21","26-149676","No"
"-122.758911","45.590517","2026-07-21","26-149674","No"
"-122.636302","45.517889","2026-07-21","26-149671","Yes"
"-122.657027","45.511569","2026-07-21","26-149670","No"
"-122.650608","45.500103","2026-07-21","26-149669","Yes"
"-122.511420","45.498750","2026-07-21","26-149667","No"
"-122.654470","45.509210","2026-07-21","26-149665","No"
"-122.558701","45.521753","2026-07-21","26-149663","No"
"-122.570606","45.469290","2026-07-21","26-149655","No"
"-122.725949","45.593939","2026-07-21","26-149653","No"
"-122.726630","45.593462","2026-07-21","26-149651","No"
"-122.547563","45.548066","2026-07-21","26-149649","Yes"
"-122.554720","45.548101","2026-07-21","26-149645","No"
"-122.727660","45.592678","2026-07-21","26-149644","No"
"-122.662230","45.520800","2026-07-21","26-149639","Yes"
"-122.561260","45.523850","2026-07-21","26-149635","No"
"-122.677613","45.554302","2026-07-21","26-149634","No"
"-122.673757","45.521591","2026-07-21","26-149630","No"
"-122.736380","45.586640","2026-07-21","26-149628","No"
"-122.732027","45.588886","2026-07-21","26-149621","No"
"-122.656992","45.501728","2026-07-21","26-149618","No"
"-122.577293","45.496831","2026-07-21","26-149616","Yes"
"-122.734374","45.586956","2026-07-21","26-149614","No"
"-122.679128","45.524440","2026-07-21","26-149612","No"
"-122.537971","45.556969","2026-06-10","26-140609","No"
"-122.492505","45.483123","2026-06-10","26-140607","No"
"-122.625848","45.520287","2026-06-10","26-140606","No"
"-122.651586","45.522189","2026-06-09","26-140605","No"
"-122.640386","45.497051","2026-06-09","26-140604","No"
"-122.537802","45.495674","2026-06-09","26-140600","Yes"
"-122.758690","45.590214","2026-06-09","26-140598","Yes"
"-122.562991","45.519786","2026-06-09","26-140592","No"
"-122.688870","45.551338","2026-06-09","26-140588","No"
"-122.612261","45.511377","2026-06-09","26-140587","No"
"-122.567980","45.479770","2026-06-09","26-140586","No"
"-122.597267","45.485421","2026-06-09","26-140585","Yes"
"-122.496411","45.507199","2026-06-09","26-140584","No"
"-122.625039","45.528939","2026-06-09","26-140580","No"
"-122.766654","45.595847","2026-06-09","26-140578","No"
"-122.631406","45.496372","2026-06-09","26-140577","No"
"-122.513341","45.517354","2026-06-09","26-140575","No"
"-122.540610","45.533240","2026-06-09","26-140571","Yes"
"-122.611389","45.479167","2026-06-09","26-140568","No"
"-122.508076","45.522270","2026-06-09","26-140564","No"
"-122.596709","45.510482","2026-06-09","26-140563","No"
"-122.690321","45.536364","2026-06-09","26-140560","No"
"-122.608042","45.497483","2026-06-09","26-140559","No"
"-122.615646","45.538949","2026-06-09","26-140556","Yes"
"-122.568573","45.465217","2026-06-09","26-140555","Yes"
"-122.687896","45.524978","2026-06-09","26-140554","Yes"
"-122.692537","45.527125","2026-06-09","26-140552","No"
"-122.678018","45.507868","2026-06-09","26-140550","No"
"-122.519762","45.560217","2026-06-09","26-140549","No"
"-122.677626","45.520716","2026-06-09","26-140544","No"
"-122.525046","45.560769","2026-06-09","26-140540","No"
"-122.583314","45.515670","2026-06-09","26-140539","Yes"
"-122.648546","45.515766","2026-06-09","26-140535","Yes"
"-122.575930","45.479384","2026-06-09","26-140534","Yes"
"-122.655852","45.518078","2026-06-09","26-140529","No"
"-122.687418","45.528570","2026-06-09","26-140528","No"
"-122.564517","45.477950","2026-06-09","26-140527","No"
"-122.677494","45.524469","2026-06-09","26-140524","No"
"-122.659859","45.517990","2026-06-09","26-140521","No"
"-122.558807","45.534037","2026-06-09","26-140518","No"
"-122.691643","45.537023","2026-06-09","26-140515","Yes"
"-122.656748","45.508656","2026-06-09","26-140513","No"
"-122.532690","45.497600","2026-06-09","26-140511","Yes"
"-122.556004","45.494914","2026-06-09","26-140510","Yes"
"-122.688083","45.533633","2026-06-09","26-140503","No"
"-122.645869","45.525065","2026-06-09","26-140500","No"
"-122.655112","45.513584","2026-06-09","26-140499","Yes"
"-122.646453","45.513661","2026-06-09","26-140497","No"
"-122.688017","45.590662","2026-06-09","26-140494","No"
"-122.572301","45.480155","2026-06-09","26-140491","No"
"-122.682812","45.514950","2026-06-09","26-140485","No"
"-122.594262","45.536649","2026-06-09","26-140481","Yes"
"-122.729781","45.622821","2026-06-09","26-140480","Yes"
"-122.580232","45.518993","2026-06-09","26-140479","No"
"-122.490430","45.504280","2026-06-09","26-140478","No"
"-122.581465","45.522800","2026-06-09","26-140476","No"
"-122.716381","45.560875","2026-06-09","26-140474","No"
"-122.659990","45.514463","2026-06-09","26-140473","No"
"-122.698636","45.529826","2026-06-09","26-140472","No"
"-122.661322","45.520695","2026-06-09","26-140470","No"
"-122.648577","45.516473","2026-06-09","26-140468","Yes"
"-122.676687","45.531955","2026-06-09","26-140463","No"
"-122.562669","45.476220","2026-06-09","26-140462","No"
"-122.532546","45.522534","2026-06-09","26-140460","No"
"-122.518390","45.498748","2026-06-09","26-140454","Yes"
"-122.729688","45.590833","2026-06-09","26-140453","No"
"-122.729259","45.589694","2026-06-09","26-140451","Yes"
"-122.696729","45.536073","2026-06-09","26-140449","Yes"
"-122.645984","45.523612","2026-06-09","26-140446","No"
"-122.657946","45.515867","2026-06-09","26-140445","No"
"-122.602578","45.530946","2026-06-09","26-140443","Yes"
"-122.735011","45.446203","2026-06-09","26-140437","Yes"
"-122.661130","45.505678","2026-06-09","26-140436","No"
"-122.577656","45.534331","2026-06-09","26-140434","No"
"-122.715418","45.485490","2026-06-09","26-140433","Yes"
"-122.737997","45.519842","2026-06-09","26-140430","No"
"-122.662150","45.517290","2026-06-09","26-140427","No"
"-122.648183","45.471929","2026-06-09","26-140418","Yes"
"-122.652220","45.500414","2026-06-09","26-140416","Yes"
"-122.488031","45.504998","2026-06-09","26-140406","Yes"
"-122.690715","45.535523","2026-06-09","26-140403","Yes"
"-122.585899","45.497195","2026-06-09","26-140398","No"
"-122.604050","45.497403","2026-06-09","26-140394","No"
"-122.676927","45.508516","2026-06-09","26-140392","No"
"-122.601188","45.491861","2026-06-09","26-140391","No"
"-122.554808","45.495517","2026-06-09","26-140390","No"
"-122.682025","45.569896","2026-06-09","26-140384","No"
"-122.705426","45.587823","2026-06-09","26-140382","Yes"
"-122.632838","45.511929","2026-06-09","26-140381","Yes"
"-122.651657","45.502197","2026-06-09","26-140376","No"
"-122.641440","45.522153","2026-06-09","26-140371","No"
"-122.581380","45.481190","2026-06-09","26-140369","Yes"
"-122.683146","45.557562","2026-06-08","26-140358","No"
"-122.661325","45.517076","2026-06-08","26-140355","No"
"-122.555459","45.504220","2026-06-08","26-140354","Yes"
"-122.509803","45.543475","2026-06-08","26-140352","Yes"
"-122.634228","45.518025","2026-06-08","26-140350","No"
"-122.562720","45.468632","2026-06-08","26-140337","No"
"-122.568455","45.466115","2026-06-08","26-140336","No"
"-122.521131","45.561912","2026-06-08","26-140335","No"
"-122.659339","45.515031","2026-06-08","26-140334","No"
"-122.483874","45.486063","2026-06-08","26-140331","No"
"-122.664853","45.515091","2026-06-08","26-140330","No"
"-122.562506","45.477590","2026-06-08","26-140328","No"
"-122.578729","45.496874","2026-06-08","26-140325","No"
"-122.560770","45.485771","2026-06-08","26-140324","Yes"
"-122.530142","45.481884","2026-06-08","26-140323","No"
"-122.647207","45.497772","2026-06-08","26-140322","No"
"-122.691107","45.555098","2026-06-08","26-140321","No"
"-122.540367","45.521082","2026-06-08","26-140319","No"
"-122.542921","45.521070","2026-06-08","26-140318","No"
"-122.632881","45.531946","2026-06-08","26-140316","No"
"-122.625748","45.519639","2026-06-08","26-140315","No"
"-122.602098","45.503440","2026-06-08","26-140313","Yes"
"-122.592321","45.534454","2026-06-08","26-140311","No"
"-122.757231","45.591319","2026-06-08","26-140308","No"
"-122.538081","45.557645","2026-06-08","26-140306","No"
"-122.616423","45.562701","2026-06-08","26-140305","Yes"
"-122.657295","45.505841","2026-06-08","26-140304","Yes"
"-122.622950","45.497490","2026-06-08","26-140300","No"
"-122.713874","45.538311","2026-06-08","26-140294","Yes"
"-122.605560","45.497260","2026-06-08","26-140293","No"
"-122.659827","45.520162","2026-06-08","26-140292","No"
"-122.705711","45.562653","2026-06-08","26-140290","Yes"
"-122.567165","45.479405","2026-06-08","26-140287","No"
"-122.553817","45.504500","2026-06-08","26-140284","Yes"
"-122.508094","45.523217","2026-06-08","26-140282","No"
"-122.757604","45.588510","2026-06-08","26-140279","Yes"
"-122.599086","45.473374","2026-06-08","26-140275","Yes"
"-122.657861","45.513895","2026-06-08","26-140274","No"
"-122.661104","45.501341","2026-06-08","26-140268","No"
"-122.571722","45.503610","2026-06-08","26-140265","Yes"
"-122.660058","45.496758","2026-06-08","26-140261","No"
"-122.659687","45.496213","2026-06-08","26-140258","No"
"-122.648122","45.498901","2026-06-08","26-140257","No"
"-122.664649","45.520075","2026-06-08","26-140256","No"
"-122.659539","45.495092","2026-06-08","26-140255","No"
"-122.657686","45.465823","2026-06-08","26-140253","Yes"
"-122.558831","45.475769","2026-06-08","26-140252","No"
"-122.645611","45.497445","2026-06-08","26-140249","No"
"-122.730386","45.596828","2026-06-08","26-140248","No"
"-122.564093","45.467040","2026-06-08","26-140245","Yes"
"-122.537636","45.533574","2026-06-08","26-140244","No"
"-122.729988","45.598003","2026-06-08","26-140241","No"
"-122.640563","45.498729","2026-06-08","26-140238","Yes"
"-122.606569","45.562640","2026-06-08","26-140236","Yes"
"-122.567060","45.471649","2026-06-08","26-140230","No"
"-122.672935","45.521021","2026-06-08","26-140227","No"
"-122.663489","45.464363","2026-06-08","26-140226","No"
"-122.568203","45.470995","2026-06-08","26-140225","No"
"-122.655692","45.514357","2026-06-08","26-140224","No"
"-122.659293","45.512959","2026-06-08","26-140223","No"
"-122.600880","45.556669","2026-06-08","26-140219","Yes"
"-122.571765","45.469035","2026-06-08","26-140218","No"
"-122.633498","45.519361","2026-06-08","26-140217","No"
"-122.612503","45.497927","2026-06-08","26-140216","Yes"
"-122.675727","45.538189","2026-06-08","26-140215","Yes"
"-122.561049","45.476843","2026-06-08","26-140213","Yes"
"-122.676623","45.538272","2026-06-08","26-140210","Yes"
"-122.542828","45.504195","2026-06-08","26-140209","Yes"
"-122.649012","45.535761","2026-06-08","26-140206","No"
"-122.657622","45.459721","2026-06-08","26-140205","No"
"-122.686253","45.525021","2026-06-08","26-140202","No"
"-122.650683","45.499599","2026-06-08","26-140201","No"
"-122.689664","45.534946","2026-06-08","26-140198","Yes"
"-122.523469","45.489072","2026-06-08","26-140195","Yes"
"-122.652161","45.522786","2026-06-08","26-140194","No"
"-122.577225","45.465642","2026-06-08","26-140193","No"
"-122.750990","45.586574","2026-06-08","26-140191","Yes"
"-122.656310","45.557160","2026-06-08","26-140187","Yes"
"-122.658813","45.512011","2026-06-08","26-140185","No"
"-122.636081","45.517145","2026-06-08","26-140183","No"
"-122.650656","45.519144","2026-06-08","26-140180","No"
"-122.583189","45.462063","2026-06-08","26-140177","No"
"-122.663491","45.517212","2026-06-08","26-140176","No"
"-122.682315","45.534452","2026-06-08","26-140173","No"
"-122.556294","45.515419","2026-06-08","26-140172","No"
"-122.663287","45.516482","2026-06-08","26-140170","No"
"-122.663666","45.521526","2026-06-08","26-140169","No"
"-122.662852","45.521806","2026-06-08","26-140168","No"
"-122.649932","45.474865","2026-06-08","26-140167","No"
"-122.726273","45.594728","2026-06-08","26-140165","No"
"-122.547089","45.533467","2026-06-08","26-140164","No"
"-122.727697","45.595355","2026-06-08","26-140163","No"
"-122.708250","45.537820","2026-06-08","26-140160","No"
"-122.657697","45.511941","2026-06-08","26-140159","No"
"-122.623590","45.533782","2026-06-08","26-140157","No"
"-122.733829","45.592661","2026-06-08","26-140154","Yes"
"-122.640576","45.487692","2026-06-08","26-140149","Yes"
"-122.696106","45.537363","2026-06-08","26-140147","No"
"-122.683323","45.515888","2026-06-08","26-140143","No"
"-122.568487","45.523233","2026-06-08","26-140141","Yes"
"-122.681475","45.533997","2026-06-08","26-140136","No"
"-122.655712","45.506651","2026-06-08","26-140135","No"
"-122.603061","45.492701","2026-06-08","26-140133","Yes"
"-122.523210","45.502008","2026-06-08","26-140132","No"
"-122.568250","45.473540","2026-06-08","26-140125","Yes"
"-122.663280","45.562475","2026-06-08","26-140121","No"
"-122.591367","45.487104","2026-06-08","26-140115","Yes"
"-122.676778","45.546243","2026-06-08","26-140109","No"
"-122.537388","45.539704","2026-04-29","26-130260","No"
"-122.681960","45.588822","2026-04-29","26-130259","No"
"-122.528860","45.522090","2026-04-29","26-130250","No"
"-122.614739","45.538993","2026-04-29","26-130249","No"
"-122.658690","45.524809","2026-04-29","26-130246","Yes"
"-122.618065","45.462002","2026-04-29","26-130243","No"
"-122.622697","45.462921","2026-04-29","26-130240","No"
"-122.667677","45.560527","2026-04-29","26-130236","Yes"
"-122.694387","45.526954","2026-04-29","26-130234","No"
"-122.576064","45.518746","2026-04-29","26-130233","No"
"-122.564753","45.475764","2026-04-29","26-130232","Yes"
"-122.693717","45.532745","2026-04-29","26-130227","No"
"-122.680020","45.508630","2026-04-29","26-130225","No"
"-122.673587","45.521470","2026-04-29","26-130224","No"
"-122.727585","45.592726","2026-04-29","26-130219","No"
"-122.597548","45.497935","2026-04-29","26-130218","Yes"
"-122.728824","45.591675","2026-04-29","26-130217","No"
"-122.675413","45.527393","2026-04-29","26-130216","No"
"-122.578773","45.546339","2026-04-29","26-130215","No"
"-122.689589","45.577454","2026-04-29","26-130213","No"
"-122.555875","45.529062","2026-04-29","26-130207","Yes"
"-122.508042","45.520125","2026-04-29","26-130206","No"
"-122.729696","45.590996","2026-04-29","26-130204","No"
"-122.560279","45.494261","2026-04-29","26-130203","No"
"-122.732145","45.588826","2026-04-29","26-130200","No"
"-122.529241","45.566452","2026-04-29","26-130199","No"
"-122.732697","45.588267","2026-04-29","26-130198","No"
"-122.735465","45.586029","2026-04-29","26-130192","No"
"-122.672457","45.525639","2026-04-29","26-130191","No"
"-122.695294","45.539062","2026-04-29","26-130189","No"
"-122.633608","45.497821","2026-04-29","26-130182","Yes"
"-122.578658","45.533827","2026-04-29","26-130179","No"
"-122.755812","45.584962","2026-04-29","26-130177","Yes"
"-122.648331","45.515538","2026-04-29","26-130173","No"
"-122.587474","45.493796","2026-04-29","26-130172","Yes"
"-122.664604","45.520148","2026-04-29","26-130163","No"
"-122.497993","45.517388","2026-04-29","26-130162","Yes"
"-122.647454","45.488862","2026-04-29","26-130161","No"
"-122.534975","45.522642","2026-04-29","26-130159","No"
"-122.659789","45.519064","2026-04-29","26-130154","No"
"-122.723576","45.519147","2026-04-29","26-130152","Yes"
"-122.501430","45.517610","2026-04-29","26-130149","Yes"
"-122.679155","45.564832","2026-04-29","26-130145","No"
"-122.679042","45.562602","2026-04-29","26-130144","No"
"-122.673375","45.509166","2026-04-29","26-130141","No"
"-122.617459","45.537730","2026-04-29","26-130139","Yes"
"-122.677327","45.589577","2026-04-29","26-130138","No"
"-122.659872","45.465682","2026-04-29","26-130135","No"
"-122.677370","45.519890","2026-04-29","26-130128","No"
"-122.681610","45.512630","2026-04-29","26-130123","Yes"
"-122.734559","45.554974","2026-04-29","26-130117","No"
"-122.593118","45.483052","2026-04-29","26-130115","Yes"
"-122.585501","45.474500","2026-04-29","26-130113","Yes"
"-122.510455","45.513774","2026-04-29","26-130110","Yes"
"-122.535496","45.480826","2026-04-29","26-130108","No"
"-122.553284","45.477047","2026-04-29","26-130107","No"
"-122.598085","45.532646","2026-04-29","26-130106","No"
"-122.557452","45.477382","2026-04-29","26-130104","No"
"-122.559260","45.477117","2026-04-29","26-130103","No"
"-122.666719","45.533803","2026-04-29","26-130098","No"
"-122.670716","45.533247","2026-04-29","26-130096","No"
"-122.676670","45.526268","2026-04-29","26-130094","No"
"-122.590159","45.549864","2026-04-29","26-130087","Yes"
"-122.621199","45.516355","2026-04-29","26-130085","No"
"-122.651145","45.521534","2026-04-29","26-130083","No"
"-122.538738","45.555340","2026-04-29","26-130081","Yes"
"-122.632471","45.496455","2026-04-29","26-130079","Yes"
"-122.704861","45.539501","2026-04-29","26-130077","Yes"
"-122.743413","45.585933","2026-04-29","26-130074","Yes"
"-122.575646","45.496188","2026-04-29","26-130063","Yes"
"-122.658993","45.464791","2026-04-29","26-130056","Yes"
"-122.503588","45.551303","2026-04-29","26-130055","Yes"
"-122.653290","45.489972","2026-04-28","26-130052","No"
"-122.496864","45.501757","2026-04-28","26-130051","Yes"
"-122.663768","45.521523","2026-04-28","26-130048","No"
"-122.666788","45.519365","2026-04-28","26-130047","No"
"-122.637105","45.465077","2026-04-28","26-130043","No"
"-122.758597","45.590365","2026-04-28","26-130035","No"
"-122.639533","45.497444","2026-04-28","26-130034","No"
"-122.680190","45.578147","2026-04-28","26-130031","Yes"
"-122.691472","45.514011","2026-04-28","26-130030","No"
"-122.681945","45.579764","2026-04-28","26-130028","Yes"
"-122.567178","45.478571","2026-04-28","26-130022","No"
"-122.506447","45.552018","2026-04-28","26-130012","Yes"
"-122.533310","45.519210","2026-04-28","26-130011","No"
"-122.630657","45.533104","2026-04-28","26-130007","Yes"
"-122.696579","45.527104","2026-04-28","26-130005","No"
"-122.612529","45.498123","2026-04-28","26-130002","No"
"-122.660012","45.465040","2026-04-28","26-130001","Yes"
"-122.654523","45.508709","2026-04-28","26-129999","No"
"-122.685403","45.530036","2026-04-28","26-129993","No"
"-122.672774","45.539604","2026-04-28","26-129989","No"
"-122.738925","45.597363","2026-04-28","26-129986","Yes"
"-122.647894","45.498165","2026-04-28","26-129985","No"
"-122.499036","45.526470","2026-04-28","26-129982","Yes"
"-122.606127","45.498456","2026-04-28","26-129981","No"
"-122.649285","45.498178","2026-04-28","26-129973","No"
"-122.498707","45.504679","2026-04-28","26-129969","No"
"-122.496475","45.495358","2026-04-28","26-129967","Yes"
"-122.643363","45.498207","2026-04-28","26-129966","No"
"-122.567490","45.482530","2026-04-28","26-129965","Yes"
"-122.559657","45.484090","2026-04-28","26-129964","Yes"
"-122.552670","45.519014","2026-04-28","26-129960","No"
"-122.558056","45.533538","2026-04-28","26-129959","No"
