name,address,city,facility_type,capacity,capacity_unit,population_served,provider,status,closure_date,priority_vulnerable,pets_allowed,source
Ground Score Association Day Storage,624 NW Couch St,Portland,day_center,,,adults,Ground Score Association,open,,0,0,hsd_daycenters_2025-10
Rose Haven,1740 NW Glisan St,Portland,day_center,,,women and gender non-conforming,Rose Haven,open,,0,0,hsd_daycenters_2025-10
Downtown Drop-In,820 SW Oak St,Portland,day_center,,,youth,New Avenues for Youth,open,,0,0,hsd_daycenters_2025-10
Africa House,10401 NE Glisan St,Portland,day_center,,,youth,IRCO,open,,0,0,hsd_daycenters_2025-10
Outside In,1132 SW 13th Ave,Portland,day_center,,,youth,Outside In,open,,0,0,hsd_daycenters_2025-10
BIPOC Safe Rest Village,NEEDS ADDRESS - portland.gov/shelter-services,Portland,city_village,38,units,adults BIPOC affinity,City of Portland Shelter Services,open,,0,0,city_shelterservices_FY2024
Clinton Triangle,NEEDS ADDRESS - portland.gov/shelter-services,Portland,city_village,160,units,adults,City of Portland Shelter Services,open,,0,0,city_shelterservices_FY2024
Menlo Park Safe Rest Village,NEEDS ADDRESS - portland.gov/shelter-services,Portland,city_village,50,units,adults,City of Portland Shelter Services,open,,0,0,city_shelterservices_FY2024
Multnomah Safe Rest Village,NEEDS ADDRESS - portland.gov/shelter-services,Portland,city_village,28,units,adults,City of Portland Shelter Services,open,,0,0,city_shelterservices_FY2024
Peninsula Crossing Safe Rest Village,NEEDS ADDRESS - portland.gov/shelter-services,Portland,city_village,60,units,adults,City of Portland Shelter Services,open,,0,0,city_shelterservices_FY2024
Queer Affinity Village,NEEDS ADDRESS - portland.gov/shelter-services,Portland,city_village,35,units,LGBTQ+ adults,City of Portland Shelter Services,open,,0,0,city_shelterservices_FY2024
Reedway Safe Rest Village,NEEDS ADDRESS - portland.gov/shelter-services,Portland,city_village,60,units,adults,City of Portland Shelter Services,open,,0,0,city_shelterservices_FY2024
Sunderland RV Safe Park,NEEDS ADDRESS - portland.gov/shelter-services,Portland,city_village,55,units,adults with vehicles,City of Portland Shelter Services,open,,0,0,city_shelterservices_FY2024
