shelter_id,name,address,city,state,zip,lon,lat,capacity,capacity_basis,opened,closed,status,coord_source,coord_confidence,facility_type,provider,closure_date,priority_vulnerable,raw_capacity,raw_unit,pet_intake
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,1125 N Schmeer Rd,Portland,OR,,-122.679565,45.590053,114,SCENARIO_C_existing_site_76x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Transition Projects,,0,61,rooms,refuse
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,9723 NE Sandy Blvd,Portland,OR,,-122.562494,45.558812,225,SCENARIO_C_existing_site_150x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Do Good Multnomah,2026-12-31,0,120,rooms,refuse
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,121 NE 181st Ave,Gresham,OR,,-122.477620,45.522979,78,SCENARIO_C_existing_site_52x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Transition Projects,,0,42,rooms,refuse
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,18323 SE Stark St,Gresham,OR,,-122.474369,45.519541,81,SCENARIO_C_existing_site_54x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Do Good Multnomah,,0,43,rooms,refuse
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,8355 N Interstate Ave,Portland,OR,,-122.685370,45.583337,32,SCENARIO_C_existing_site_21x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Do Good Multnomah,,1,17,rooms,refuse
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,1952 N Lombard St,Portland,OR,,-122.686753,45.576626,30,SCENARIO_C_existing_site_20x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Do Good Multnomah,,1,18,units,refuse
Avalon_Village,Avalon Village,2539 SE 19th Ave,Portland,OR,,-122.647011,45.504545,16,SCENARIO_C_existing_site_11x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,WeShine PDX,,0,10,units,refuse
Beacon_Village,Beacon Village,621 NE 76th Ave,Portland,OR,,-122.585163,45.527605,16,SCENARIO_C_existing_site_11x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Beacon Village,2026-08-31,0,10,units,refuse
Dignity_Village,Dignity Village,9401 NE Sunderland Ave,Portland,OR,,-122.635880,45.590779,99,SCENARIO_C_existing_site_66x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Dignity Village,,0,60,units,refuse
Harrison_Community_Villa,Harrison Community Village,1818 SE 82nd Ave,Portland,OR,,-122.578184,45.509737,63,SCENARIO_C_existing_site_42x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Do Good Multnomah,,0,38,units,refuse
Kenton_Womens_Village,Kenton Women's Village,2420 N Columbia Blvd,Portland,OR,,-122.691841,45.586652,32,SCENARIO_C_existing_site_21x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Catholic Charities of Oregon,,1,19,units,refuse
Oak_Street_Village,Oak Street Village,333 SE 82nd Ave,Portland,OR,,-122.579609,45.520115,48,SCENARIO_C_existing_site_32x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Straightway Services,,0,29,units,refuse
Parkrose_Community_Villa,Parkrose Community Village,12505 NE Halsey St,Portland,OR,,-122.533971,45.534177,16,SCENARIO_C_existing_site_11x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,WeShine,,0,10,units,refuse
St_Andrews_Village,St Andrews Village,7600 N Hereford Ave,Portland,OR,,-122.721754,45.582464,16,SCENARIO_C_existing_site_11x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,WeShine,,0,10,units,refuse
St_Johns_Village,St Johns Village,8005 N Richmond Ave,Portland,OR,,-122.750203,45.590193,32,SCENARIO_C_existing_site_21x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,village,Do Good Multnomah,,0,19,units,refuse
Lilac_Meadows,Lilac Meadows,7740 SE Powell Blvd,Portland,OR,,-122.583071,45.496970,190,SCENARIO_C_existing_site_127x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,family,Our Just Future,,0,39,rooms,refuse
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,1635 SW Alder St,Portland,OR,,-122.688141,45.522468,45,SCENARIO_C_existing_site_30x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,youth,Janus Youth Programs,,0,30,beds,refuse
Street_Light_Youth_Shelt,Street Light Youth Shelter,1635 SW Alder St,Portland,OR,,-122.688141,45.522468,45,SCENARIO_C_existing_site_30x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,youth,Janus Youth Programs,,0,30,beds,refuse
Behavioral_Health_Resour,Behavioral Health Resource Center,333 SW Park Ave,Portland,OR,,-122.679643,45.521959,50,SCENARIO_C_existing_site_33x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,other,Do Good Multnomah,,0,33,beds,refuse
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,9827 NE Sunderland Ave,Portland,OR,,-122.635896,45.595053,92,SCENARIO_C_existing_site_61x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_street_address,village,City of Portland / Urban Alchemy,,0,55,units,refuse
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,6631 N Syracuse St,Portland,OR,,-122.735946,45.583354,99,SCENARIO_C_existing_site_66x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_street_address,village,City of Portland,,0,60,units,
BIPOC_SRV,BIPOC Safe Rest Village,84 NE Weidler St,Portland,OR,,-122.665928,45.534443,63,SCENARIO_C_existing_site_42x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_street_address,village,City of Portland,,0,38,units,refuse
Queer_Affinity_Village,Queer Affinity Safe Rest Village,2300 SW Naito Pkwy,Portland,OR,,-122.677686,45.506081,57,SCENARIO_C_existing_site_38x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_block_level,village,City of Portland,,0,35,units,
Doreens_Place,Doreen's Place (Transition Projects),610 NW Broadway,Portland,OR,,-122.677480,45.527488,135,SCENARIO_C_existing_site_90x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_street_address,congregate,Transition Projects,,0,90,beds,
Menlo_Park_SRV,Menlo Park Safe Rest Village,NE 122nd Ave & E Burnside St,Portland,OR,,-122.537593,45.522410,82,SCENARIO_C_existing_site_55x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_intersection_approximated_to_block,village,City of Portland,,0,50,units,refuse
Reedway_SRV,Reedway Safe Rest Village,SE 106th Ave & SE Reedway St,Portland,OR,,-122.606664,45.481822,99,SCENARIO_C_existing_site_66x1.5_REAL_LOCATION_UNCHANGED,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_block_level,village,City of Portland / Urban Alchemy,,0,60,units,refuse
NEW_optimized_site_01,Proposed clean-air shelter 1 (optimized location),,Portland,OR,,-122.684239,45.525066,350,SCENARIO_C_new_facility_capacity_reallocated_from_scenario_B_expansion,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,proposed,PROPOSED_NOT_A_REAL_FACILITY,,0,350,people,
NEW_optimized_site_02,Proposed clean-air shelter 2 (optimized location),,Portland,OR,,-122.674314,45.514205,350,SCENARIO_C_new_facility_capacity_reallocated_from_scenario_B_expansion,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,proposed,PROPOSED_NOT_A_REAL_FACILITY,,0,350,people,
NEW_optimized_site_03,Proposed clean-air shelter 3 (optimized location),,Portland,OR,,-122.685357,45.536118,349,SCENARIO_C_new_facility_capacity_reallocated_from_scenario_B_expansion,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,proposed,PROPOSED_NOT_A_REAL_FACILITY,,0,349,people,
NEW_optimized_site_04,Proposed clean-air shelter 4 (optimized location),,Portland,OR,,-122.544555,45.489718,349,SCENARIO_C_new_facility_capacity_reallocated_from_scenario_B_expansion,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,proposed,PROPOSED_NOT_A_REAL_FACILITY,,0,349,people,
NEW_optimized_site_05,Proposed clean-air shelter 5 (optimized location),,Portland,OR,,-122.574416,45.540881,349,SCENARIO_C_new_facility_capacity_reallocated_from_scenario_B_expansion,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,proposed,PROPOSED_NOT_A_REAL_FACILITY,,0,349,people,
NEW_optimized_site_06,Proposed clean-air shelter 6 (optimized location),,Portland,OR,,-122.686929,45.585790,349,SCENARIO_C_new_facility_capacity_reallocated_from_scenario_B_expansion,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,proposed,PROPOSED_NOT_A_REAL_FACILITY,,0,349,people,
NEW_optimized_site_07,Proposed clean-air shelter 7 (optimized location),,Portland,OR,,-122.675258,45.500394,349,SCENARIO_C_new_facility_capacity_reallocated_from_scenario_B_expansion,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,proposed,PROPOSED_NOT_A_REAL_FACILITY,,0,349,people,
NEW_optimized_site_08,Proposed clean-air shelter 8 (optimized location),,Portland,OR,,-122.571918,45.465833,349,SCENARIO_C_new_facility_capacity_reallocated_from_scenario_B_expansion,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,proposed,PROPOSED_NOT_A_REAL_FACILITY,,0,349,people,
NEW_optimized_site_09,Proposed clean-air shelter 9 (optimized location),,Portland,OR,,-122.543241,45.555387,349,SCENARIO_C_new_facility_capacity_reallocated_from_scenario_B_expansion,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,proposed,PROPOSED_NOT_A_REAL_FACILITY,,0,349,people,
NEW_optimized_site_10,Proposed clean-air shelter 10 (optimized location),,Portland,OR,,-122.673484,45.519995,349,SCENARIO_C_new_facility_capacity_reallocated_from_scenario_B_expansion,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,proposed,PROPOSED_NOT_A_REAL_FACILITY,,0,349,people,
